tweet_id,sentiment,content
1956967341,negative,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666,negative,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,negative,Funeral ceremony...gloomy friday...
1956967789,positive,wants to hang out with friends SOON!
1956968416,negative,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968477,negative,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487,negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636,negative,Hmmm. http://www.djhero.com/ is down
1956969035,negative,@charviray Charlene my love. I miss you
1956969172,negative,@kelcouch I'm sorry  at least it's Friday?
1956969456,negative,cant fall asleep
1956969531,negative,Choked on her retainers
1956970047,negative,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,positive,Got the news
1956971077,negative,The storm is here and the electricity is gone
1956971170,positive,@annarosekerr agreed
1956971206,negative,So sleepy again and it's not even that late. I fail once again.
1956971473,negative,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586,negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981,negative,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972097,positive,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972116,negative,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972270,negative,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972444,negative,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557,negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884,negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598,negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
